,Event_Name,Venue,Event_Date,Number_of_Attendees
0,"Cityfox 2018 NYE & NYD: Dixon, Lee Burridge, The Martinez Brothers, Recondite & Many More at Avant Gardner",Avant Gardner,2018-01-01,2700
1,The Grand Ball: presented by Zero & House of Yes at The 1896,The 1896,2018-01-01,340
2,Unter 2018 at Nowadays,Nowadays,2018-01-01,211
3,Victor Calderone (NYD) at Knockdown Center,Knockdown Center,2018-01-01,202
4,ReSolute New Year's Day Extravaganza at TBA - New York,TBA - New York,2018-01-01,149
5,New Year's Day - Oscar G/ Benny Soto b2b Mike Nervous at Output at Output,Output,2018-01-01,123
6,718 Sessions New Years Day Party-2018 at Good Room,Good Room,2018-01-01,76
7,Day One: Bedouin New Year Day presented by Zero & House of Yes at The 1896,The 1896,2018-01-01,67
8,"Cityfox 2018 NYD: Lee Burridge, The Martinez Brothers & More (see Event on December 31) at Avant Gardner",Avant Gardner,2018-01-01,39
9,"Boris, Guti (Live), Caleb Calloway - Day One: New Years Day 2018 at Schimanski",Schimanski,2018-01-01,7
10,Jonathan Peters New Years Eve After Party at Freq NYC 2018 at FREQ,FREQ,2018-01-01,5
11,"Nevermind at TBA - Buffalo, Buffalo/Rochester","TBA - Buffalo, Buffalo/Rochester",2018-01-01,31
12,Techno Bangs: New Year's Day at Bossa Nova Civic Club,Bossa Nova Civic Club,2018-01-01,7
13,"Day 1 Static Membership After Hours presents: NYC Legends Manny Ward, Keoki & Johnny Vicious at TBA - New York",TBA - New York,2018-01-01,5
14,"The Get Down NYD ft Tasha Blank, Desert Dwellers & More at House Of Yes",House Of Yes,2018-01-01,1
0,"Boris, Guti (Live), Caleb Calloway - Day One: New Years Day 2018 at Schimanski",Schimanski,2018-01-02,7
1,Static Membership Pop Up After Hours Music By: Benny Soto b2b Mike Nervous & Miguel Casimiro at TBA - New York,TBA - New York,2018-01-02,6
2,Tuesday Creatures with David Berrie / Steven Letigre at TBA Brooklyn,TBA Brooklyn,2018-01-02,5
3,Tuesday Creatures with David Berrie / Steven Letigre at TBA Brooklyn,TBA Brooklyn,2018-01-02,3
4,"JD Samson, Lauren Flax & Amber Valentine at Le Bain",Le Bain,2018-01-02,2
5,"The Get Down NYD ft Tasha Blank, Desert Dwellers & More at House Of Yes",House Of Yes,2018-01-02,1
6,Feel Real presents House City Grooves at Rumpus Room,Rumpus Room,2018-01-02,1
0,Momentum/Rite of Wed: Bodywork / Hunter Vita / Nathan Kersaint at TBA Brooklyn,TBA Brooklyn,2018-01-03,6
